Obs,State,Date,Equity Capital - All Institutions,Core Deposits to Total Liabilities - All Institutions,Gross 1-4 Family Mortgages to Gross Assets - All Institutions,Gross Real Estate Assets to Gross Assets - All Institutions,Leverage (Core Capital) Ratio - All Institutions,Net Charge-Offs - All Institutions,Net Income (year-to-date) - All Institutions,Other Real Estate Owned - All Institutions,Reserve Coverage Ratio - All Institutions,Provisions for Credit Losses - All Institutions,Total Assets - All Institutions,Total Deposits - All Institutions,Total Loans & Leases - All Institutions,Total Risk-Based Capital (Non CBLR Electors) - All Institutions
132,New York,12/31/1997,53937.0,27.21,8.76,20.82,6.16,550.0,6673.0,407.0,199.38,665.0,834576.0,441005.0,319743.0,11.76
133,New York,03/31/1998,55274.0,27.37,9.19,21.18,6.21,342.0,1336.0,454.0,179.11,229.0,836374.0,451428.0,326632.0,11.91
134,New York,06/30/1998,57623.0,27.61,8.93,18.91,6.33,545.0,3198.0,366.0,184.95,416.0,862571.0,464108.0,330021.0,12.19
135,New York,09/30/1998,59405.0,26.86,8.83,20.01,6.48,828.0,4468.0,299.0,178.54,791.0,855196.0,451173.0,328481.0,12.41
136,New York,12/31/1998,60193.0,28.38,9.51,22.51,6.4,1125.0,6082.0,215.0,167.01,1070.0,827886.0,462589.0,334932.0,12.41
137,New York,03/31/1999,61547.0,28.19,9.7,21.37,6.83,268.0,2332.0,218.0,168.3,108.0,833690.0,458104.0,338308.0,12.46
138,New York,06/30/1999,60464.0,29.69,10.0,21.28,7.04,518.0,3027.0,195.0,170.86,148.0,804277.0,460432.0,342253.0,12.36
139,New York,09/30/1999,59956.0,31.04,10.75,23.02,7.42,798.0,5772.0,182.0,135.95,249.0,773569.0,453564.0,340394.0,12.55
140,New York,12/31/1999,66466.0,28.99,10.13,23.1,7.75,1358.0,8338.0,184.0,143.55,477.0,876619.0,516817.0,357823.0,12.83
141,New York,03/31/2000,67985.0,29.45,10.47,23.36,7.37,210.0,2414.0,176.0,144.7,106.0,874853.0,487377.0,366188.0,13.0
142,New York,06/30/2000,69142.0,29.88,10.99,23.85,7.32,439.0,4790.0,191.0,132.95,355.0,876062.0,500513.0,380801.0,12.84
143,New York,09/30/2000,72322.0,30.24,11.01,24.17,7.52,794.0,7351.0,185.0,134.99,596.0,905343.0,505708.0,394743.0,12.86
144,New York,12/31/2000,72115.0,30.24,10.72,24.05,7.11,1288.0,9703.0,195.0,120.41,1046.0,956676.0,539727.0,403333.0,12.58
145,New York,03/31/2001,74004.0,28.74,10.49,23.28,6.71,324.0,2713.0,210.0,109.04,349.0,1010874.0,552795.0,407665.0,12.31
146,New York,06/30/2001,75215.0,28.95,10.73,22.57,6.68,827.0,4552.0,215.0,101.28,790.0,1021503.0,564821.0,414775.0,12.22
147,New York,09/30/2001,76703.0,27.71,9.95,20.96,6.74,1321.0,6057.0,210.0,99.79,1446.0,1080616.0,577181.0,424021.0,11.94
148,New York,12/31/2001,73294.0,33.39,11.44,24.03,6.44,2730.0,5823.0,198.0,99.22,3451.0,944273.0,543575.0,401283.0,12.52
149,New York,03/31/2002,73794.0,33.78,12.14,25.41,6.7,680.0,1684.0,203.0,91.77,633.0,943490.0,533149.0,404226.0,12.89
150,New York,06/30/2002,76048.0,32.55,11.28,24.17,6.71,1347.0,3961.0,225.0,88.67,1274.0,994432.0,548803.0,406344.0,12.94
151,New York,09/30/2002,77717.0,32.11,11.39,25.7,6.72,2638.0,4887.0,231.0,77.61,2845.0,1029040.0,551595.0,406114.0,12.76
152,New York,12/31/2002,77632.0,32.29,11.8,27.05,6.38,3577.0,5680.0,237.0,80.49,3964.0,1042529.0,571920.0,403797.0,12.74
153,New York,03/31/2003,79418.0,32.85,11.86,28.07,6.42,698.0,2589.0,262.0,90.78,747.0,1047496.0,573126.0,408047.0,13.04
154,New York,06/30/2003,85012.0,33.91,11.82,28.24,6.45,1213.0,5441.0,264.0,92.68,1165.0,1135958.0,618270.0,439059.0,12.11
155,New York,09/30/2003,83696.0,34.41,13.44,29.15,6.48,1776.0,7642.0,242.0,105.42,1362.0,1080250.0,600195.0,423532.0,12.35
156,New York,12/31/2003,85476.0,35.53,12.67,28.68,6.66,2105.0,10236.0,244.0,120.6,1269.0,1069237.0,614114.0,403165.0,12.16
157,New York,03/31/2004,87904.0,35.52,12.67,29.21,6.83,286.0,2667.0,235.0,112.98,-236.0,1104751.0,624205.0,408428.0,11.9
158,New York,06/30/2004,88439.0,36.14,14.19,30.43,6.59,522.0,3958.0,202.0,125.54,-206.0,1139327.0,656660.0,435949.0,12.45
159,New York,09/30/2004,82543.0,35.89,12.14,27.77,6.75,710.0,4731.0,166.0,126.72,-272.0,1038536.0,567940.0,378348.0,12.6
160,New York,12/31/2004,48498.0,51.08,14.69,47.76,8.71,455.0,4386.0,58.0,169.66,160.0,388127.0,242085.0,193934.0,15.16
161,New York,03/31/2005,48176.0,52.06,15.06,49.7,9.07,46.0,1180.0,55.0,183.21,6.0,376263.0,242740.0,192371.0,15.24
162,New York,06/30/2005,49168.0,50.83,15.21,49.46,9.16,97.0,2332.0,45.0,186.16,5.0,383676.0,254034.0,197110.0,15.2
163,New York,09/30/2005,50011.0,50.75,14.92,49.22,9.43,166.0,3517.0,37.0,214.41,62.0,382702.0,254028.0,199551.0,15.36
164,New York,12/31/2005,50511.0,51.3,14.57,48.87,9.36,407.0,4628.0,45.0,228.42,134.0,388839.0,260115.0,202541.0,15.23
165,New York,03/31/2006,49780.0,49.92,13.55,48.26,9.4,27.0,765.0,38.0,227.17,26.0,387105.0,257732.0,200207.0,15.23
166,New York,06/30/2006,51546.0,49.88,13.61,47.26,9.32,43.0,1992.0,39.0,234.68,71.0,397693.0,265205.0,209820.0,14.96
